Width,Height,Aspect Ratio,File Size (KB),Class
474,468,1.0128205128205128,32.87109375,test
474,474,1.0,26.25390625,test
474,352,1.3465909090909092,14.708984375,test
474,355,1.3352112676056338,14.546875,test
474,325,1.4584615384615385,22.8544921875,test
474,355,1.3352112676056338,27.9453125,test
474,290,1.6344827586206896,28.9287109375,test
400,400,1.0,37.330078125,test
474,474,1.0,35.5185546875,test
474,387,1.2248062015503876,14.5595703125,test
474,474,1.0,24.9404296875,test
474,347,1.3659942363112392,27.98828125,test
474,383,1.237597911227154,22.443359375,test
474,130,3.646153846153846,7.8408203125,test
474,266,1.781954887218045,14.15625,test
474,315,1.5047619047619047,48.642578125,test
474,266,1.781954887218045,13.998046875,test
402,260,1.5461538461538462,27.5244140625,test
474,355,1.3352112676056338,32.9765625,test
474,266,1.781954887218045,19.3291015625,test
474,474,1.0,21.3134765625,test
474,291,1.6288659793814433,17.5263671875,test
474,385,1.2311688311688311,17.02734375,test
474,238,1.9915966386554622,32.9873046875,test
474,335,1.4149253731343283,21.3212890625,test
474,266,1.781954887218045,29.03125,test
474,355,1.3352112676056338,16.2822265625,test
474,474,1.0,20.7490234375,test
474,255,1.8588235294117648,23.51953125,test
474,484,0.9793388429752066,26.95703125,test
474,355,1.3352112676056338,31.822265625,test
474,254,1.8661417322834646,20.6171875,test
474,474,1.0,21.0078125,test
474,301,1.5747508305647842,20.8876953125,test
474,294,1.6122448979591837,10.880859375,test
474,266,1.781954887218045,16.869140625,test
474,648,0.7314814814814815,34.630859375,test
474,268,1.7686567164179106,48.0390625,test
474,421,1.1258907363420427,32.8349609375,test
474,541,0.8761552680221811,37.8193359375,test
474,266,1.781954887218045,21.248046875,test
474,266,1.781954887218045,24.7421875,test
474,474,1.0,15.267578125,test
474,355,1.3352112676056338,15.7294921875,test
474,289,1.6401384083044983,38.3427734375,test
474,335,1.4149253731343283,14.126953125,test
474,298,1.5906040268456376,17.9375,test
474,307,1.5439739413680782,18.4716796875,test
474,450,1.0533333333333332,27.3232421875,test
474,474,1.0,56.552734375,test
474,266,1.781954887218045,21.1484375,test
474,474,1.0,14.087890625,test
474,192,2.46875,15.2763671875,test
474,316,1.5,14.806640625,test
474,266,1.781954887218045,15.6025390625,test
474,820,0.5780487804878048,72.52734375,test
474,474,1.0,13.54296875,test
474,266,1.781954887218045,11.5185546875,test
474,316,1.5,24.134765625,test
474,315,1.5047619047619047,35.1953125,test
474,474,1.0,19.818359375,test
474,236,2.0084745762711864,14.8251953125,test
474,268,1.7686567164179106,14.689453125,test
474,165,2.8727272727272726,7.056640625,test
474,266,1.781954887218045,28.0322265625,test
474,711,0.6666666666666666,45.2255859375,test
474,357,1.3277310924369747,35.89453125,test
474,316,1.5,23.2978515625,test
474,474,1.0,15.4931640625,test
474,274,1.72992700729927,28.46875,test
474,294,1.6122448979591837,17.04296875,test
474,355,1.3352112676056338,14.689453125,test
474,203,2.334975369458128,13.931640625,test
474,315,1.5047619047619047,28.3505859375,test
474,474,1.0,27.8251953125,test
